claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,checked_at
"Alle Deutschen sind ohne Ansehen von Herkunft, Abstammung, Weltanschauung oder Religionszugehörigkeit Teil unseres Staatsvolks», heißt es darin","https://www.pz-news.de/politik_artikel,-Sellner-AfD-zwischen-Abgrenzung-und-Naehe-_arid,2322096.html",pz-news.de,Sellner: AfD zwischen Abgrenzung und Nähe - Politik - Pforzheimer-Zeitung,0.1,LOW,False,,,2026-01-27T16:43:49.892505
"Alle Deutschen sind ohne Ansehen von Herkunft, Abstammung, Weltanschauung oder Religionszugehörigkeit Teil unseres Staatsvolks», heißt es dari",https://www.rhein-zeitung.de/deutschland-welt/sellner-afd-zwischen-abgrenzung-und-naehe_arid-4099397.html,rhein-zeitung.de,Identitäre Bewegung: Sellner: AfD zwischen Abgrenzung und Nähe - Deutschland &amp; Welt - Rhein-Zeit,0.1,LOW,False,,,2026-01-27T16:43:51.515406
Antrag mit wenig Aussicht auf ErfolgAuch in der Spitze der Unionsfraktion wird dem Vorstoß der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar eingeräumt,https://www.kn-online.de/politik/teilzeit-streit-cdu-generalsekretaer-linnemann-haelt-antrag-fuer-verfehlt-NVH3WRCKKVFAVGYUUAGL5PBKQQ.html,kn-online.de,Teilzeit-Streit: CDU-Generalsekretär Linnemann hält Antrag für verfehlt,0.1,LOW,False,,,2026-01-27T16:43:52.131300
Antrag mit wenig Aussicht auf ErfolgAuch in der Spitze der Unionsfraktion wird dem Vorstoß der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar eingeräumt,https://www.maz-online.de/politik/teilzeit-streit-cdu-generalsekretaer-linnemann-haelt-antrag-fuer-verfehlt-NVH3WRCKKVFAVGYUUAGL5PBKQQ.html,maz-online.de,Teilzeit-Streit: CDU-Generalsekretär Linnemann hält Antrag für verfehlt,0.1,LOW,False,,,2026-01-27T16:43:53.757948
Antrag mit wenig Aussicht auf ErfolgAuch in der Spitze der Unionsfraktion wird dem Vorstoß der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar eingeräumt,https://www.goettinger-tageblatt.de/politik/teilzeit-streit-cdu-generalsekretaer-linnemann-haelt-antrag-fuer-verfehlt-NVH3WRCKKVFAVGYUUAGL5PBKQQ.html,goettinger-tageblatt.de,Teilzeit-Streit: CDU-Generalsekretär Linnemann hält Antrag für verfehlt,0.1,LOW,False,,,2026-01-27T16:43:54.208155
Antrag mit wenig Aussicht auf ErfolgAuch in der Spitze der Unionsfraktion wird dem Vorstoß der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar eingeräumt,https://www.op-marburg.de/politik/teilzeit-streit-cdu-generalsekretaer-linnemann-haelt-antrag-fuer-verfehlt-NVH3WRCKKVFAVGYUUAGL5PBKQQ.html,op-marburg.de,Teilzeit-Streit: CDU-Generalsekretär Linnemann hält Antrag für verfehlt,0.1,LOW,False,,,2026-01-27T16:43:54.746029
Advertisement Auch in der Spitze der Unionsfraktion wird dem Vorsto&szlig; der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar einger&auml;umt,https://www.newratings.de/du/main/company_headline.m?nid=19405767,newratings.de,newratings.de,0.1,LOW,False,,,2026-01-27T16:43:56.074643
Auch in der Spitze der Unionsfraktion wird dem Vorstoß der Mittelstands- und Wirtschaftsunion (MIT) keine Chance beim CDU-Parteitag im Februar eingeräumt,https://www.finanznachrichten.de/nachrichten-2026-01/67534277-teilzeit-vorschlag-stoesst-auch-in-unionsfraktion-auf-ablehnung-016.htm,finanznachrichten.de,Teilzeit-Vorschlag st&#246;&#223;t auch in Unionsfraktion auf Ablehnung,0.1,LOW,False,,,2026-01-27T16:43:56.876130
"Rente und Altersvorsorge Aktuelle Berichte und Hintergründe Das Rentensystem in Deutschland ist ins Wanken geraten, weil immer weniger Erwerbstätige die Rente finanzieren müssen",https://www.deutschlandfunk.de/die-presseschau-aus-deutschen-zeitungen-8670.html,deutschlandfunk.de,27. Januar 2026 - Die Presseschau aus deutschen Zeitungen,0.1,LOW,False,,,2026-01-27T16:43:57.626966
"Zudem erhöhe ein Verbot laut Antrag die öffentliche Sicherheit, da es die Identifizierbarkeit von Personen erleichtere – ein Aspekt, den auch die Polizei regelmässig betone",https://weltwoche.ch/daily/dem-europaeischen-weg-folgen-cdu-frauen-fordern-burka-verbot/,weltwoche.ch,«Dem europäischen Weg folgen»: CDU-Frauen fordern Burka-Verbot,0,LOW,False,,,2026-01-27T16:43:59.130659
