claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,checked_at
"Zum Login SPIEGEL plus Nur für Neukunden € 1,– für 4 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/politik/deutschland/alkohol-am-steuer-betrunken-autofahren-auto-weg-kommentar-a-afa074cc-65c6-4173-8ddb-5f89c132d232#ref=rss,www.spiegel.de,Alkohol am Steuer: Betrunken Autofahren? Auto weg! - Kommentar - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:27.164470
"E-Paper (PDF), Digital-Archiv und S+-Newsletter Jederzeit kündigen Jetzt abonnieren SPIEGEL plus 52 Wochen 25 % sparen € 4,49 pro Woche für 52 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/politik/deutschland/alkohol-am-steuer-betrunken-autofahren-auto-weg-kommentar-a-afa074cc-65c6-4173-8ddb-5f89c132d232#ref=rss,www.spiegel.de,Alkohol am Steuer: Betrunken Autofahren? Auto weg! - Kommentar - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:27.313627
"Zum Login SPIEGEL plus Nur für Neukunden € 1,– für 4 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/politik/deutschland/klimakrise-cdu-fluegel-entschaerfen-radikalen-klima-antrag-a-83bc53db-02d6-427e-b80d-662c2bad4e37#ref=rss,www.spiegel.de,Klimakrise: CDU-Flügel entschärfen radikalen Klima-Antrag - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:28.184365
"E-Paper (PDF), Digital-Archiv und S+-Newsletter Jederzeit kündigen Jetzt abonnieren SPIEGEL plus 52 Wochen 25 % sparen € 4,49 pro Woche für 52 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/politik/deutschland/klimakrise-cdu-fluegel-entschaerfen-radikalen-klima-antrag-a-83bc53db-02d6-427e-b80d-662c2bad4e37#ref=rss,www.spiegel.de,Klimakrise: CDU-Flügel entschärfen radikalen Klima-Antrag - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:28.301342
"»Das war wirklich im wahrsten Sinne des Wortes eine märchenhafte Winterhochzeit, waren sich am Ende alle einig«, schwärmte Rottmann hinterher",https://www.spiegel.de/panorama/schonungen-buergermeister-kommt-mit-dem-schneepflug-und-rettet-so-die-hochzeit-a-68274404-0d8a-4b28-a9a9-beb893da8214#ref=rss,www.spiegel.de,Schonungen: Bürgermeister kommt mit dem Schneepflug und rettet so die Hochzeit - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:29.461404
Er hat nach eigenen Angaben »mehrere Hundert Paare« getraut – aber noch nie unter derart widrigen Bedingungen,https://www.spiegel.de/panorama/schonungen-buergermeister-kommt-mit-dem-schneepflug-und-rettet-so-die-hochzeit-a-68274404-0d8a-4b28-a9a9-beb893da8214#ref=rss,www.spiegel.de,Schonungen: Bürgermeister kommt mit dem Schneepflug und rettet so die Hochzeit - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:29.572359
Nach Angaben von lokalen Medien gilt der Winterdienst dort als besonders anspruchsvoll,https://www.spiegel.de/panorama/schonungen-buergermeister-kommt-mit-dem-schneepflug-und-rettet-so-die-hochzeit-a-68274404-0d8a-4b28-a9a9-beb893da8214#ref=rss,www.spiegel.de,Schonungen: Bürgermeister kommt mit dem Schneepflug und rettet so die Hochzeit - DER SPIEGEL,0,LOW,False,,,2026-01-27T16:33:29.695806
SBB: Bahnen so pünktlich wie nie – in der Schweiz $swiper,https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:30.589869
"outside=""close()"" :class=""{'lg:w-4/12': isOpen,'md:w-5/12': isOpen,}""> Suche starten Suche öffnen EILMELDUNG — __proto_headline__ EILMELDUNG — __proto_headline__ Trotz Baustellen Die Bahn war 2025 so pünktlich wie nie",https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:33:30.701658
In der Schweiz Es ist ein Rekord: Rund 94 Prozent der Personenzüge im Schweizer Schienennetz erreichten 2025 planmäßig ihr Ziel,https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0,LOW,False,,,2026-01-27T16:33:30.811266
